pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,game_type,stand,p_throws,home_team,away_team,type,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,hc_x,hc_y,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,estimated_ba_using_speedangle,estimated_woba_using_speedangle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,active_record
CU,8/24/2021,80.3,-2.01,5.39,"Morton, Charlie",592450,450203,strikeout,swinging_strike,R,R,R,ATL,NYY,S,,1,2,2021,1.32,-0.84,-0.08,1.45,2,5,Top,,,3.76,1.75,,,,3105,6.3,632763,,,38,5,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,56,1
SI,8/24/2021,94.8,-2.02,5.46,"Morton, Charlie",592450,450203,,foul,R,R,R,ATL,NYY,S,,1,2,2021,-1.46,0.45,-0.77,2.1,2,5,Top,,,3.76,1.75,5,78,-20,2177,6.1,632763,,,38,4,Sinker,2,4,4,2,4,2,4,2,Standard,Standard,241,1
FF,8/24/2021,96.7,-1.89,5.47,"Morton, Charlie",592450,450203,,ball,R,R,R,ATL,NYY,B,,0,2,2021,-0.91,0.97,1.95,2.37,2,5,Top,,,3.96,1.95,,,,2405,6.3,632763,,,38,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,239,1
CH,8/24/2021,85.2,-1.99,5.45,"Morton, Charlie",592450,450203,,called_strike,R,R,R,ATL,NYY,S,,0,1,2021,-1.45,0.53,0.54,1.79,2,5,Top,,,3.98,1.9,,,,1958,6.4,632763,,,38,2,Changeup,2,4,4,2,4,2,4,2,Standard,Standard,265,1
CU,8/24/2021,81.7,-2.13,5.43,"Morton, Charlie",592450,450203,,called_strike,R,R,R,ATL,NYY,S,,0,0,2021,1.35,-0.51,0.57,1.93,2,5,Top,,,3.89,1.81,,,,3159,6.4,632763,,,38,1,Curveball,2,4,4,2,4,2,4,2,Standard,Standard,57,1
CU,8/24/2021,80.5,-2.33,5.32,"Morton, Charlie",519203,450203,strikeout,swinging_strike,R,L,R,ATL,NYY,S,,2,2,2021,1.25,-1.04,-0.54,1.72,1,5,Top,,,3.49,1.6,,,,3077,6.3,632763,,,37,6,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard,59,1
CU,8/24/2021,80.2,-2.07,5.48,"Morton, Charlie",519203,450203,,foul,R,L,R,ATL,NYY,S,,2,2,2021,1.45,-0.84,-0.49,2.16,1,5,Top,,,3.49,1.6,4,81.2,-30,3142,6.4,632763,,,37,5,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard,59,1
FF,8/24/2021,95.8,-1.99,5.53,"Morton, Charlie",519203,450203,,ball,R,L,R,ATL,NYY,B,,1,2,2021,-1.1,0.99,0.68,3.99,1,5,Top,,,3.53,1.6,,,,2457,6.4,632763,,,37,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard,236,1
CU,8/24/2021,81.3,-2.21,5.48,"Morton, Charlie",519203,450203,,called_strike,R,L,R,ATL,NYY,S,,1,1,2021,1.16,-0.87,-0.66,2.92,1,5,Top,,,3.47,1.6,,,,3027,6.3,632763,,,37,3,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard,50,1
CH,8/24/2021,85,-1.97,5.37,"Morton, Charlie",519203,450203,,swinging_strike,R,L,R,ATL,NYY,S,,1,0,2021,-1.32,-0.12,0.51,1.94,1,5,Top,,,3.49,1.6,,,,1773,6.4,632763,,,37,2,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard,267,1
